dishist_id,disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,state,disasterType,incidentType,year
1,3,0,1,1,1,LA,DR,Flood,1953
2,1,0,1,1,1,GA,DR,Tornado,1953
3,4,0,1,1,1,MI,DR,Tornado,1953
4,15,0,1,1,1,CA,DR,Flood,1954
5,25,0,1,1,1,CT,DR,Hurricane,1954
6,35,0,1,1,1,OK,DR,Flood,1955
7,55,0,1,1,1,ID,DR,Flood,1956
8,45,0,1,1,1,NY,DR,Hurricane,1955
9,65,0,1,1,1,CA,DR,Fire,1956
10,75,0,1,1,1,MO,DR,Tornado,1957
11,85,0,1,1,1,TX,DR,Tornado,1958
12,95,0,1,1,1,OK,DR,Flood,1959
13,105,0,1,1,1,ID,DR,Fire,1960
14,115,0,1,1,1,IL,DR,Flood,1961
15,125,0,1,1,1,WV,DR,Flood,1962
16,6,0,1,1,1,MI,DR,Tornado,1953
17,17,0,1,1,1,IA,DR,Flood,1954
18,27,0,1,1,1,NM,DR,Flood,1954
19,37,0,1,1,1,NC,DR,Hurricane,1955
20,47,0,1,1,1,CA,DR,Flood,1955
21,57,0,1,1,1,OH,DR,Other,1956
22,67,0,1,1,1,WV,DR,Flood,1957
23,77,0,1,1,1,AR,DR,Tornado,1957
24,87,0,1,1,1,NC,DR,Hurricane,1958
25,97,0,1,1,1,FL,DR,Other,1960
26,107,0,1,1,1,NC,DR,Hurricane,1960
27,117,0,1,1,1,WV,DR,Flood,1961
28,127,0,1,1,1,MD,DR,Flood,1962
29,137,0,1,1,1,WA,DR,Severe Storm(s),1962
30,147,0,1,1,1,WV,DR,Flood,1963
31,28,0,1,1,1,NC,DR,Hurricane,1954
32,18,0,1,1,1,TX,DR,Flood,1954
33,7,0,1,1,1,MA,DR,Tornado,1953
34,38,0,1,1,1,NM,DR,Flood,1955
35,48,0,1,1,1,NV,DR,Flood,1955
36,58,0,1,1,1,PA,DR,Severe Storm(s),1956
37,68,0,1,1,1,VA,DR,Flood,1957
38,78,0,1,1,1,IL,DR,Flood,1957
39,88,0,1,1,1,KS,DR,Flood,1958
40,98,0,1,1,1,NE,DR,Flood,1960
41,108,0,1,1,1,MS,DR,Flood,1961
42,118,0,1,1,1,TX,DR,Hurricane,1961
43,128,0,1,1,1,KY,DR,Flood,1962
44,138,0,1,1,1,CA,DR,Flood,1962
45,30,0,1,1,1,IN,DR,Flood,1954
46,20,0,1,1,1,SD,DR,Flood,1954
47,40,0,1,1,1,PA,DR,Flood,1955
48,9,0,1,1,1,TX,DR,Flood,1953
49,50,0,1,1,1,WA,DR,Flood,1956
50,60,0,1,1,1,OR,DR,Flood,1956
51,70,0,1,1,1,WA,DR,Flood,1957
52,80,0,1,1,1,MN,DR,Flood,1957
53,90,0,1,1,1,OH,DR,Flood,1959
54,100,0,1,1,1,MO,DR,Flood,1960
55,110,0,1,1,1,GA,DR,Flood,1961
56,29,0,1,1,1,SC,DR,Hurricane,1954
57,39,0,1,1,1,RI,DR,Hurricane,1955
58,19,0,1,1,1,NV,DR,Earthquake,1954
59,8,0,1,1,1,IA,DR,Flood,1953
60,49,0,1,1,1,OR,DR,Flood,1955
61,59,0,1,1,1,CO,DR,Flood,1956
62,69,0,1,1,1,OR,DR,Flood,1957
63,79,0,1,1,1,ND,DR,Tornado,1957
64,89,0,1,1,1,PA,DR,Flood,1959
65,99,0,1,1,1,SD,DR,Flood,1960
66,157,0,1,1,1,AR,DR,Flood,1963
67,167,0,1,1,1,OH,DR,Flood,1964
68,177,0,1,1,1,GA,DR,Hurricane,1964
69,183,0,1,1,0,CA,DR,Flood,1964
70,183,0,1,1,0,CA,DR,Flood,1964
71,184,0,1,1,0,OR,DR,Flood,1964
72,184,0,1,1,0,OR,DR,Flood,1964
73,184,0,1,1,0,OR,DR,Flood,1964
74,183,0,1,1,0,CA,DR,Flood,1964
75,184,0,1,1,0,OR,DR,Flood,1964
76,120,0,1,1,1,ID,DR,Flood,1962
77,130,0,1,1,1,NC,DR,Flood,1962
78,140,0,1,1,1,GU,DR,Typhoon,1962
79,150,0,1,1,1,GA,DR,Flood,1963
80,160,0,1,1,1,VT,DR,Drought,1963
81,170,0,1,1,1,PR,DR,Drought,1964
82,180,0,1,1,1,GA,DR,Flood,1964
83,183,0,1,1,0,CA,DR,Flood,1964
84,183,0,1,1,0,CA,DR,Flood,1964
85,183,0,1,1,0,CA,DR,Flood,1964
86,184,0,1,1,0,OR,DR,Flood,1964
87,184,0,1,1,0,OR,DR,Flood,1964
88,184,0,1,1,0,OR,DR,Flood,1964
89,185,0,1,1,0,WA,DR,Flood,1964
90,185,0,1,1,0,WA,DR,Flood,1964
91,185,0,1,1,0,WA,DR,Flood,1964
92,186,0,1,1,0,ID,DR,Flood,1964
