renters_id,disasterNumber,state,county,zipCode,validRegistrations,totalInspectedWithNoDamage,totalWithModerateDamage,totalWithMajorDamage,totalWithSubstantialDamage,approvedForFemaAssistance,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants
1,1983,MS,Adams (County),39120,16,7,0,0,0,1,0,1650,0,1,0,0,0
2,1983,MS,Coahoma (County),38644,2,0,0,0,0,0,0,0,0,0,0,0,0
3,1983,MS,Humphreys (County),39166,12,8,0,0,0,6,0,20117,8528,5,1,0,0
4,1983,MS,Tunica (County),38664,1,1,0,0,0,0,0,0,0,0,0,0,0
5,1983,MS,Sharkey (County),38721,6,2,0,0,0,0,0,0,0,0,0,0,0
6,1983,MS,Bolivar (County),38773,2,0,0,0,0,0,0,0,0,0,0,0,0
7,1983,MS,Warren (County),39810,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1984,SD,Union (County),57049,10,6,0,0,0,6,0,9465,0,6,0,0,0
9,1983,MS,Yazoo (County),39088,4,2,0,0,0,1,0,506,0,1,0,0,0
10,1989,OK,Logan (County),73016,5,4,0,0,0,3,0,3294,25758,2,1,0,0
11,1989,OK,Delaware (County),74331,1,1,0,0,0,1,0,0,135,1,0,0,0
12,1991,IL,Franklin (County),62841,1,1,0,0,0,0,0,0,0,0,0,0,0
13,1991,IL,Alexander (County),62957,20,16,0,0,0,14,0,16685,16674,13,1,0,0
14,1991,IL,Gallatin (County),62984,7,7,0,0,0,4,0,3970,3163,4,0,0,0
15,1991,IL,Pulaski (County),62964,37,34,0,0,0,20,369,36602,6571,19,1,0,0
16,1991,IL,Massac (County),62910,12,5,0,0,0,3,0,2086,7609,3,0,0,0
17,1991,IL,White (County),62821,13,12,0,0,0,8,0,7078,11865,8,0,0,0
18,1991,IL,Williamson (County),62959,4,4,0,0,0,3,0,4468,817,3,0,0,0
19,1994,MA,Hampden (County),1151,10,4,0,0,0,2,0,0,1359,2,0,0,0
20,1994,MA,Hampden (County),1118,69,40,0,0,0,15,0,21207,13610,15,0,0,0
21,1994,MA,Worcester (County) (in (P,2121,1,1,0,0,0,0,0,0,0,0,0,0,0
22,1995,VT,Chittenden (County),5446,7,6,0,0,0,5,0,12526,2267,5,0,0,0
23,1995,VT,Franklin (County),5478,1,0,0,0,0,0,0,0,0,0,0,0,0
24,1995,VT,Lamoille (County),5672,1,1,0,0,0,0,0,0,0,0,0,0,0
25,1996,MT,Big Horn (County),59075,2,2,0,0,0,1,0,1574,3916,1,0,0,0
26,1996,MT,Carbon (County),59068,2,1,0,0,0,0,0,0,0,0,0,0,0
27,1996,MT,Fergus (County),59457,11,8,0,0,0,5,0,4986,4325,5,0,0,0
28,1996,MT,Golden Valley (County),59074,2,1,0,0,0,0,0,0,0,0,0,0,0
