zipcode,medhome,sqfthome,rent
11368,371200,486,2340
79936,110900,79,1047
60629,139400,125,1384
90650,404800,331,2108
11226,567000,470,2090
11385,540300,383,2288
90201,373500,314,1997
90280,369800,309,2005
10025,1145200,1295,3624
11234,484200,362,2098
60618,326100,297,1875
11236,377900,305,2044
91331,390200,300,2252
8701,281800,149,1815
92335,276400,207,1570
11208,367600,290,2258
77084,147200,0,1450
11373,315700,445,2264
90011,333900,286,2045
60639,196000,166,1583
11207,334000,302,2245
90805,370600,327,1987
60804,133300,111,1379
60647,283500,257,1785
94565,334800,222,1906
11377,407900,457,2376
92336,394600,195,2060
10456,260400,211,1819
11214,551100,463,2154
92503,314400,209,1726
91342,432800,286,2358
11204,740400,467,2193
11212,319000,270,2068
60632,151900,142,1425
93307,141900,110,1095
90250,510300,400,2374
60623,130400,126,1342
91911,412200,270,2125
75217,72900,63,976
60617,105100,91,1273
90044,331400,279,2001
91744,392300,318,2034
10314,411800,272,2118
10462,108900,160,1789
11229,549200,407,2143
11355,401400,483,2248
92376,267400,185,1546
11235,445900,491,2177
91706,374300,298,1993
92345,193200,123,1197
91910,447000,269,2204
94112,844500,668,4049
11221,877300,514,2488
92683,563200,383,2548
93257,155700,111,1085
11203,411300,277,2026
92509,316400,209,1698
96797,578000,410,2367
94544,492000,386,2462
95630,464000,232,2052
90255,346500,268,1994
93722,201700,127,1251
90706,428800,314,2188
60625,260300,253,1646
75052,161400,81,1447
95823,211000,151,1313
95076,463100,326,2461
93033,381400,249,2152
10469,373500,232,1821
60628,89600,79,1265
99301,173900,114,1276
60634,235800,197,1749
85364,114900,86,867
77449,151300,80,1454
33186,255200,161,1904
93274,165300,118,1133
92704,461600,350,2436
33012,167300,134,1662
75070,276700,115,1898
10457,328600,217,1820
75228,127900,94,1245
60620,119800,99,1291
92154,392100,247,2128
60608,205100,204,1609
30043,189900,89,1391
33024,208000,152,1698
90262,337800,279,1964
80013,266200,181,1792
94558,534500,347,2583
94110,1242200,1024,5002
94587,712000,425,2896
93550,199900,134,1396
87121,120600,82,1048
92553,240000,166,1452
93230,174200,119,1124
92804,480300,345,2414
7087,308900,220,2297
91335,455500,324,2447
66062,209800,116,1698
90022,359100,324,1939
91710,423700,257,2076
92126,505800,342,2298
10466,353600,240,1828
7055,297900,0,1778
85032,214600,151,1251
89110,144000,101,1029
37042,120900,83,961
79912,169300,89,1294
22193,277000,189,1771
93535,187500,116,1399
60505,105400,80,1382
60085,88600,72,1278
28269,161100,87,1251
92105,346500,310,1846
92703,422000,362,2256
75211,103000,88,1142
19120,80600,67,958
21234,193200,148,1596
60614,372800,318,2243
96706,522700,382,2504
48180,79300,69,912
85225,215600,137,1249
95687,348000,218,1798
90026,735100,589,2653
33157,244300,149,1908
60657,302600,279,1944
97007,353100,190,1812
90003,307800,295,1943
75002,250100,111,1789
91766,337300,271,1903
95035,826600,533,3263
92592,412600,187,2084
19111,149200,108,1229
60402,170500,141,1516
7093,320100,225,2374
11215,1027200,979,2794
10312,441200,268,2131
80015,323400,173,2032
19143,65000,50,954
30044,147300,84,1242
60609,119800,123,1341
34953,173100,97,1359
91709,588200,304,2810
60641,253400,208,1754
11211,971200,0,2921
20906,301900,203,1939
91730,379500,252,1881
60619,118700,97,1287
89031,181700,107,1177
44035,86800,66,807
85308,249100,133,1366
92114,369900,273,2011
93536,275600,134,1765
93065,512600,295,2593
92880,497000,177,2451
90631,508000,351,2442
92882,420000,230,2068
78046,85200,0,955
94533,288200,194,1704
90019,868500,524,2888
91402,383500,266,2224
8753,247100,151,1807
11434,385600,304,2101
94538,751100,542,2913
23322,321400,137,1962
77379,231800,87,1947
11691,383600,262,2061
91761,380200,236,1916
11706,266200,175,2649
94501,843500,557,3295
7047,295000,183,2349
89121,146000,90,1103
76063,224700,95,1777
6010,170700,125,1466
23452,224400,149,1439
77450,251300,103,2028
23464,239000,134,1536
44060,151500,91,1247
90660,392800,312,2078
60640,189400,210,1603
53215,83400,63,885
94536,843900,534,3002
19124,77700,65,940
79924,88300,66,895
95206,197300,124,1243
7305,251200,225,1949
28277,303100,126,1795
89108,146900,103,1043
77095,201100,85,1728
45011,166600,90,1401
90813,335500,334,1915
10473,314300,231,1842
21215,98400,85,1304
14850,232300,147,1770
94513,504400,228,2389
47906,165200,89,1269
95111,591600,420,2941
11225,934600,588,2389
90731,521200,385,2259
10128,1138600,0,3420
33411,238900,134,1819
95127,614300,453,2956
37211,187600,118,1451
89115,123700,91,968
11210,629000,412,2145
93306,172800,113,1208
29483,166700,102,1365
2301,230000,155,1693
11213,698900,445,2339
22003,489800,287,2442
94806,344100,274,2144
92805,454000,354,2333
77083,144500,75,1446
37075,233000,111,1592
93906,356500,246,1877
2148,350800,251,2166
95123,760600,475,3170
93309,180100,120,1237
78045,159600,94,1410
7002,285700,155,1997
60453,159600,129,1529
33023,169000,122,1651
95624,358000,178,1723
60506,149100,99,1545
6516,168200,135,1547
32765,247400,127,1611
92346,298700,172,1667
75243,147400,89,1333
63376,172400,121,1392
46307,190800,103,1526
19134,55000,50,882
37013,159600,95,1348
94509,306400,200,1840
91605,466100,326,2438
90006,571200,413,2443
11746,424800,202,3148
92677,766200,398,3183
90042,597800,501,2435
94122,1134100,773,4263
21122,282900,207,1867
2155,445800,311,2356
33313,61700,61,1227
90640,465200,309,2220
94080,815100,580,3519
60638,183100,168,1532
33311,122500,97,1486
97006,319300,190,1663
77573,214600,92,1938
60651,141100,118,1409
75149,110500,80,1192
48197,179000,99,1499
91702,385900,307,2068
97229,492600,225,2319
7111,150400,84,1444
44256,194900,106,1631
92324,235600,179,1421
87120,166000,100,1205
17603,136900,100,1069
92780,612800,358,2687
74012,147200,82,1256
78130,180300,0,1439
76244,217100,95,1703
92627,675300,534,2806
85301,109600,81,951
95758,321200,182,1614
95608,350300,208,1606
91343,488100,288,2534
70072,120900,89,1141
91950,348600,276,1898
91977,393700,264,2101
92021,409000,263,2142
93117,766800,494,3298
11550,282500,202,2535
93727,203300,120,1253
91745,603800,329,2455
95122,545500,441,2853
91762,348500,244,1768
75067,188900,110,1597
84015,172500,137,1248
44077,132400,83,1175
85345,160400,109,1062
91405,471000,305,2465
19720,161600,127,1242
85204,175500,125,1150
8854,281800,185,2033
92407,258400,173,1508
